Epoch 13, Batch 200, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 168.938, Test Loss: 140.651
Epoch 13, Batch 300, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 173.232, Test Loss: 134.765
Epoch 13, Batch 400, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 173.113, Test Loss: 131.823
Epoch 13, Batch 500, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 172.732, Test Loss: 132.476
Epoch 13, Batch 600, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 171.477, Test Loss: 132.711
Epoch 13, Batch 700, Control Accuracy: 0.680, Test Accuracy: 0.000, Control Loss: 174.481, Test Loss: 130.568
Epoch 13, Batch 800, Control Accuracy: 0.620, Test Accuracy: 0.000, Control Loss: 170.983, Test Loss: 132.887
Epoch 14, Batch 100, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 170.265, Test Loss: 137.339
Epoch 14, Batch 200, Control Accuracy: 0.420, Test Accuracy: 0.000, Control Loss: 174.477, Test Loss: 135.897
Epoch 14, Batch 300, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 170.731, Test Loss: 132.879
Epoch 14, Batch 400, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 175.719, Test Loss: 128.210
Epoch 14, Batch 500, Control Accuracy: 0.950, Test Accuracy: 0.000, Control Loss: 174.430, Test Loss: 140.630
Epoch 14, Batch 600, Control Accuracy: 0.470, Test Accuracy: 0.000, Control Loss: 172.612, Test Loss: 132.867
Epoch 14, Batch 700, Control Accuracy: 0.510, Test Accuracy: 0.000, Control Loss: 169.092, Test Loss: 134.665
Epoch 14, Batch 800, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 172.266, Test Loss: 133.845
Epoch 15, Batch 100, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 170.555, Test Loss: 134.435
Epoch 15, Batch 200, Control Accuracy: 0.460, Test Accuracy: 0.000, Control Loss: 173.608, Test Loss: 132.556
Epoch 15, Batch 300, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 173.209, Test Loss: 132.446
Epoch 15, Batch 400, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 173.871, Test Loss: 129.229
Epoch 15, Batch 500, Control Accuracy: 0.490, Test Accuracy: 0.000, Control Loss: 172.699, Test Loss: 134.275
Epoch 15, Batch 600, Control Accuracy: 0.530, Test Accuracy: 0.000, Control Loss: 172.677, Test Loss: 131.989
Epoch 15, Batch 700, Control Accuracy: 0.500, Test Accuracy: 0.000, Control Loss: 173.648, Test Loss: 129.495
Epoch 15, Batch 800, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 170.643, Test Loss: 130.497
Epoch 16, Batch 100, Control Accuracy: 0.510, Test Accuracy: 0.000, Control Loss: 169.447, Test Loss: 129.863
Epoch 16, Batch 200, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 169.492, Test Loss: 129.668
Epoch 16, Batch 300, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 164.310, Test Loss: 134.455
Epoch 16, Batch 400, Control Accuracy: 0.470, Test Accuracy: 0.000, Control Loss: 166.097, Test Loss: 132.935
Epoch 16, Batch 500, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 165.307, Test Loss: 132.926
Epoch 16, Batch 600, Control Accuracy: 0.530, Test Accuracy: 0.000, Control Loss: 162.890, Test Loss: 137.033
Epoch 16, Batch 700, Control Accuracy: 0.640, Test Accuracy: 0.000, Control Loss: 168.807, Test Loss: 130.433
Epoch 16, Batch 800, Control Accuracy: 0.470, Test Accuracy: 0.000, Control Loss: 166.968, Test Loss: 132.890
Epoch 17, Batch 100, Control Accuracy: 0.580, Test Accuracy: 0.000, Control Loss: 166.002, Test Loss: 135.775
Epoch 17, Batch 200, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 168.194, Test Loss: 130.267
Epoch 17, Batch 300, Control Accuracy: 0.710, Test Accuracy: 0.000, Control Loss: 164.230, Test Loss: 132.275
Epoch 17, Batch 400, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 167.044, Test Loss: 134.897
Epoch 17, Batch 500, Control Accuracy: 0.400, Test Accuracy: 0.000, Control Loss: 166.753, Test Loss: 133.149
Epoch 17, Batch 600, Control Accuracy: 0.640, Test Accuracy: 0.000, Control Loss: 168.750, Test Loss: 133.928
Epoch 17, Batch 700, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 167.949, Test Loss: 133.111
Epoch 17, Batch 800, Control Accuracy: 0.700, Test Accuracy: 0.000, Control Loss: 166.364, Test Loss: 131.267
Epoch 18, Batch 100, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 167.603, Test Loss: 134.948
Epoch 18, Batch 200, Control Accuracy: 0.510, Test Accuracy: 0.000, Control Loss: 164.151, Test Loss: 131.725
Epoch 18, Batch 300, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 165.380, Test Loss: 129.921
Epoch 18, Batch 400, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 167.860, Test Loss: 130.297
Epoch 18, Batch 500, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 164.425, Test Loss: 130.352
Epoch 18, Batch 600, Control Accuracy: 0.530, Test Accuracy: 0.000, Control Loss: 167.202, Test Loss: 132.734
Epoch 18, Batch 700, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 171.088, Test Loss: 127.263
Epoch 18, Batch 800, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 167.109, Test Loss: 132.668
Epoch 19, Batch 100, Control Accuracy: 0.770, Test Accuracy: 0.000, Control Loss: 169.409, Test Loss: 130.095
Epoch 19, Batch 200, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 166.986, Test Loss: 140.213
Epoch 19, Batch 300, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 169.518, Test Loss: 134.646
Epoch 19, Batch 400, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 166.758, Test Loss: 132.489
Epoch 19, Batch 500, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 168.537, Test Loss: 134.918
Epoch 19, Batch 600, Control Accuracy: 0.560, Test Accuracy: 0.000, Control Loss: 167.365, Test Loss: 129.175
Epoch 19, Batch 700, Control Accuracy: 0.350, Test Accuracy: 0.000, Control Loss: 161.994, Test Loss: 132.643
Epoch 19, Batch 800, Control Accuracy: 0.520, Test Accuracy: 0.000, Control Loss: 164.380, Test Loss: 131.397
Epoch 20, Batch 100, Control Accuracy: 0.750, Test Accuracy: 0.000, Control Loss: 168.528, Test Loss: 128.413
Epoch 20, Batch 200, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 166.776, Test Loss: 130.765
Epoch 20, Batch 300, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 165.140, Test Loss: 132.038
Epoch 20, Batch 400, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 163.699, Test Loss: 129.145
Epoch 20, Batch 500, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 165.227, Test Loss: 136.272
Epoch 20, Batch 600, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 168.150, Test Loss: 130.522
Epoch 20, Batch 700, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 164.384, Test Loss: 134.508
Epoch 20, Batch 800, Control Accuracy: 0.680, Test Accuracy: 0.000, Control Loss: 165.513, Test Loss: 128.490
Epoch 21, Batch 100, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 167.007, Test Loss: 126.930
Epoch 21, Batch 200, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 165.107, Test Loss: 135.938
Epoch 21, Batch 300, Control Accuracy: 0.830, Test Accuracy: 0.000, Control Loss: 165.886, Test Loss: 137.431
Epoch 21, Batch 400, Control Accuracy: 0.520, Test Accuracy: 0.000, Control Loss: 164.806, Test Loss: 126.079
Epoch 21, Batch 500, Control Accuracy: 0.700, Test Accuracy: 0.000, Control Loss: 167.946, Test Loss: 131.558
Epoch 21, Batch 600, Control Accuracy: 0.740, Test Accuracy: 0.000, Control Loss: 166.029, Test Loss: 129.839
Epoch 21, Batch 700, Control Accuracy: 0.820, Test Accuracy: 0.000, Control Loss: 167.443, Test Loss: 130.991
Epoch 21, Batch 800, Control Accuracy: 0.770, Test Accuracy: 0.000, Control Loss: 165.847, Test Loss: 131.043
Epoch 22, Batch 100, Control Accuracy: 0.830, Test Accuracy: 0.000, Control Loss: 169.636, Test Loss: 129.641
Epoch 22, Batch 200, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 162.772, Test Loss: 129.222
Epoch 22, Batch 300, Control Accuracy: 0.620, Test Accuracy: 0.000, Control Loss: 164.400, Test Loss: 128.358
Epoch 22, Batch 400, Control Accuracy: 0.390, Test Accuracy: 0.000, Control Loss: 165.279, Test Loss: 128.102
Epoch 22, Batch 500, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 169.169, Test Loss: 129.296
Epoch 22, Batch 600, Control Accuracy: 0.760, Test Accuracy: 0.000, Control Loss: 169.252, Test Loss: 132.476
Epoch 22, Batch 700, Control Accuracy: 0.770, Test Accuracy: 0.000, Control Loss: 168.416, Test Loss: 129.984
Epoch 22, Batch 800, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 162.906, Test Loss: 131.892
Epoch 23, Batch 100, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 161.664, Test Loss: 131.343
Epoch 23, Batch 200, Control Accuracy: 0.780, Test Accuracy: 0.000, Control Loss: 166.139, Test Loss: 125.924
Epoch 23, Batch 300, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 162.187, Test Loss: 130.773
Epoch 23, Batch 400, Control Accuracy: 0.460, Test Accuracy: 0.000, Control Loss: 169.144, Test Loss: 125.515
Epoch 23, Batch 500, Control Accuracy: 0.770, Test Accuracy: 0.000, Control Loss: 164.263, Test Loss: 128.333
Epoch 23, Batch 600, Control Accuracy: 0.840, Test Accuracy: 0.000, Control Loss: 166.807, Test Loss: 122.534
Epoch 23, Batch 700, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 170.398, Test Loss: 128.630
Epoch 23, Batch 800, Control Accuracy: 0.760, Test Accuracy: 0.000, Control Loss: 166.144, Test Loss: 141.059
Epoch 24, Batch 100, Control Accuracy: 0.060, Test Accuracy: 0.000, Control Loss: 166.867, Test Loss: 146.496
Epoch 24, Batch 200, Control Accuracy: 0.160, Test Accuracy: 0.000, Control Loss: 169.558, Test Loss: 140.926
