30 epochs
learned relu
initial positive coefficient: 1.0
initial negative coefficient: 0.0
Epoch 12, Batch 200, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 174.983, Test Loss: 130.078
Epoch 12, Batch 300, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 170.233, Test Loss: 132.855
Epoch 12, Batch 400, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 173.733, Test Loss: 135.564
Epoch 12, Batch 500, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 135.688
Epoch 12, Batch 600, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 169.983, Test Loss: 133.470
Epoch 12, Batch 700, Control Accuracy: 0.590, Test Accuracy: 0.000, Control Loss: 171.733, Test Loss: 131.105
Epoch 12, Batch 800, Control Accuracy: 0.540, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 134.299
Epoch 13, Batch 100, Control Accuracy: 0.370, Test Accuracy: 0.000, Control Loss: 173.733, Test Loss: 132.761
Epoch 13, Batch 200, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 132.561
Epoch 13, Batch 300, Control Accuracy: 0.690, Test Accuracy: 0.000, Control Loss: 173.983, Test Loss: 134.739
Epoch 13, Batch 400, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 170.483, Test Loss: 130.597
Epoch 13, Batch 500, Control Accuracy: 0.680, Test Accuracy: 0.000, Control Loss: 172.233, Test Loss: 130.476
Epoch 13, Batch 600, Control Accuracy: 0.560, Test Accuracy: 0.000, Control Loss: 168.733, Test Loss: 135.575
Epoch 13, Batch 700, Control Accuracy: 0.580, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 127.717
Epoch 13, Batch 800, Control Accuracy: 0.540, Test Accuracy: 0.000, Control Loss: 174.983, Test Loss: 127.041
Epoch 14, Batch 100, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 173.233, Test Loss: 132.485
Epoch 14, Batch 200, Control Accuracy: 0.500, Test Accuracy: 0.000, Control Loss: 174.983, Test Loss: 125.353
Epoch 14, Batch 300, Control Accuracy: 0.370, Test Accuracy: 0.000, Control Loss: 173.483, Test Loss: 129.868
Epoch 14, Batch 400, Control Accuracy: 0.640, Test Accuracy: 0.000, Control Loss: 172.483, Test Loss: 129.730
Epoch 14, Batch 500, Control Accuracy: 0.620, Test Accuracy: 0.000, Control Loss: 170.483, Test Loss: 131.024
Epoch 14, Batch 600, Control Accuracy: 0.530, Test Accuracy: 0.000, Control Loss: 173.733, Test Loss: 126.333
